question,answer
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
What is Python?,Python is a high-level interpreted programming language.
What is Variable?,A variable stores data that can change during execution.
What is Function?,A function is a reusable block of code.
What is Class?,A class is a blueprint for creating objects.
What is Object?,An object is an instance of a class.
What is Loop?,A loop executes a block of code repeatedly.
What is If statement?,An if statement performs conditional execution.
What is List?,A list is an ordered mutable collection.
What is Tuple?,A tuple is an ordered immutable collection.
What is Dictionary?,A dictionary stores key value pairs.
What is Machine learning?,Machine learning enables systems to learn from data.
What is Supervised learning?,Supervised learning uses labeled data.
What is Unsupervised learning?,Unsupervised learning uses unlabeled data.
What is AI?,Artificial intelligence simulates human intelligence.
What is Data science?,Data science extracts insights from data.
What is Pandas?,Pandas is used for data manipulation.
What is NumPy?,NumPy supports numerical computation.
What is TF-IDF?,TF-IDF converts text into vectors.
What is Cosine similarity?,Cosine similarity measures vector similarity.
What is NLP?,NLP processes human language.
What is Algorithm?,An algorithm is a step-by-step procedure.
What is Git?,Git tracks code changes.
What is GitHub?,GitHub hosts Git repositories.
What is Streamlit?,Streamlit builds data apps.
What is Deployment?,Deployment makes apps available to users.
